"","Continent.Region","Country","LocationDescription","Latitude","Longitude","Elevation.m.","DateCollected","precip","tmin","tmean","tmax","Month","Day","Year","Decade","MuseumOrField","SampleID","FieldID","Genus","Species","SpeciesName","BdStatus","GEScore","ZEScore","BdMethodology","SwabCollector","PreviouslyReported","Comments","HFP2009","croplands2005","Built2009","NavWater2009","Popdensity2010","Roads","Railways","Pasture2009","dist.closest.wb","cat.closest.wb","FirstPosDist"
"713","NorthAmerica","United States","California_Tuolumne County_Siesta Lake, Yosemite National Park",37.8511,-119.6586,2418,"1972",34.47,26.4,39.3,52.3,NA,NA,1972,"1970s","Museum","SM070","MVZ136154","Rana","sierrae","Rana sierrae",1,0.0313,2.5,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 106.68_Datum _not recorded_",9,0,0,0,1,8,0,0,1.007130343,"distlakepond","0"
"714","NorthAmerica","United States","California_Tuolumne County_Siesta Lake, Yosemite National Park",37.8511,-119.6586,2439,"1972",34.47,26.4,39.3,52.3,NA,NA,1972,"1970s","Museum","SM074","MVZ136155","Rana","sierrae","Rana sierrae",1,0.0209,1.67,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 106.68_Datum _not recorded_",9,0,0,0,1,8,0,0,1.007130343,"distlakepond","0"
"716","NorthAmerica","United States","California_Tuolumne County_Monroe Middlefork Camp, Middle Fork of the Tuolumne River",37.8578,-119.8623,1346.1,"1972",20.95,37,51.5,65.9,NA,NA,1972,"1970s","Museum","MVZ136239","MVZ136239","Rana","boylii","Rana boylii",1,0.123,9.84,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Marker at Middlefork camp, and middle fork Tuolumne River.Estimated elevation using GPS Visualizer",1.279920936,0,0,0,1,0.279920965,0,0,0.358065088,"distperennialstream","17.942185475088"
"719","NorthAmerica","United States","California_Tuolumne County_Dana Fork Tuolumne River, Yosemite National Park",37.8801,-119.3112,2774,"1972",23.17,17.8,33.7,49.6,NA,NA,1972,"1970s","Museum","SM099","MVZ136151","Rana","sierrae","Rana sierrae",1,0.00114,0.09,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Marker based on elevation.",9,0,0,0,1,8,0,0,0.040020147,"distperennialstream","30.7375746984568"
"720","NorthAmerica","United States","California_Tuolumne County_Dana Fork Tuolumne River, Yosemite National Park",37.8801,-119.3112,2774,"1972",23.17,17.8,33.7,49.6,NA,NA,1972,"1970s","Museum","SM110","MVZ136152","Rana","sierrae","Rana sierrae",1,0.00439,0.35,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Marker based on elevation.",9,0,0,0,1,8,0,0,0.040020147,"distperennialstream","30.7375746984568"
"721","NorthAmerica","United States","California_Tuolumne County_Cathedral Creek, Yosemite National Park",37.9032,-119.4408,2387.2,"1972",26.59,23.9,38.6,53.3,NA,NA,1972,"1970s","Museum","SM082","MVZ136157","Rana","sierrae","Rana sierrae",1,0.0573,4.58,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 6152.32_Datum _MaNIS georeferencing guidelines_point is midpoint of creek's lengthEstimated elevation using GPS Visualizer",2.852497578,0,0,0,1,0.852497637,0,1,1.108075332,"distperennialstream","20.0153459112297"
"722","NorthAmerica","United States","California_Tuolumne County_Cathedral Creek, Yosemite National Park",37.9032,-119.4408,2387.2,"1972",26.59,23.9,38.6,53.3,NA,NA,1972,"1970s","Museum","SM063","MVZ136156","Rana","sierrae","Rana sierrae",1,NA,1.7756,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZE's 0.5672_2.984_Coordinate error (m) 6152.32_Datum _MaNIS georeferencing guidelines_point is midpoint of creek's lengthEstimated elevation using GPS Visualizer",2.852497578,0,0,0,1,0.852497637,0,1,1.108075332,"distperennialstream","20.0153459112297"
"724","NorthAmerica","United States","California_Tuolumne County_South State Hwy. 108, ca. 0.5 mi W Sonora Pass",38.3335,-119.6401,2774,"1973",60.99,22,33.8,45.7,NA,NA,1973,"1970s","Museum","SM116","MVZ136169","Rana","sierrae","Rana sierrae",1,0.0061,0.49,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_",9,0,0,0,1,8,0,0,1.013880397,"distperennialstream","53.5705938836821"
"726","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136320","MVZ136320","Rana","boylii","Rana boylii",1,0.0532,4.26,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"727","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136322","MVZ136322","Rana","boylii","Rana boylii",1,0.00897,0.7176,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"729","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136321","MVZ136321","Rana","boylii","Rana boylii",1,NA,13.48,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 4.248_9.36_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"730","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136323","MVZ136323","Rana","boylii","Rana boylii",1,NA,9.62,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 2.936_1.264_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"731","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136324","MVZ136324","Rana","boylii","Rana boylii",1,NA,1.268,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 140.8_168_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"732","NorthAmerica","United States","California_Nevada County_S Yuba River, Washington",39.3602,-120.7998,791.5,"1973",88.36,40.2,52.9,65.7,NA,NA,1973,"1970s","Museum","MVZ136326","MVZ136326","Rana","boylii","Rana boylii",1,NA,4.256,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 0.016_3.16_Coordinate error (m) _Datum _not recorded_Estimated elevation using GPS Visualizer",3.318683624,0,0,0,3,0.318683654,0,0,0.781159355,"distephemeralstream","194.790879458866"
"745","NorthAmerica","United States","California_Tuolumne County_Elizabeth Lake, Yosemite National Park",37.844,-119.3672,2921,"1974",39.76,21.9,34.8,47.7,NA,NA,1974,"1970s","Museum","SM078","MVZ136199","Rana","sierrae","Rana sierrae",1,0.00187,0.15,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_",2.629548073,0,0,0,1,1.629547954,0,0,0.247534016,"distintermittentstream","25.6593591621255"
"746","NorthAmerica","United States","California_Tuolumne County_Elizabeth Lake, Yosemite National Park",37.844,-119.3672,2921,"1974",39.76,21.9,34.8,47.7,NA,NA,1974,"1970s","Museum","SM113","MVZ136196","Rana","sierrae","Rana sierrae",1,0.102,8.16,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_",2.629548073,0,0,0,1,1.629547954,0,0,0.247534016,"distintermittentstream","25.6593591621255"
"759","NorthAmerica","United States","California_Tuolumne County_Dog Lake, ca. 1.5 mi from Lembert Dome parking lot in Tuolumne Meadows, Yosemite National Park",37.89,-119.3386,2817,"1974",29.15,18.8,35.6,52.4,NA,NA,1974,"1970s","Museum","SM088","MVZ136203","Rana","sierrae","Rana sierrae",1,NA,5.222,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZE's 0.524_9.92_Coordinate error (m) 30_Datum _not recorded_Measured along trail.",5,0,0,0,1,4,0,0,0.039765542,"distlakepond","28.4848313742423"
"763","NorthAmerica","United States","California_Alpine County_Upper Mosquito Lake [first on right, Hwy. 4 heading E]",38.516,-119.9113,2454,"1974",52.96,26.6,39.2,51.8,NA,NA,1974,"1970s","Museum","MVZ136173","MVZ136173","Rana","sierrae","Rana sierrae",1,0.00163,0.13,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 402.336_Datum __",8,0,0,0,0,8,0,0,0,"distlakepond","77.0535783449617"
"764","NorthAmerica","United States","California_Alpine County_Upper Mosquito Lake [first on right, Hwy. 4 heading E]",38.516,-119.9113,2454,"1974",52.96,26.6,39.2,51.8,NA,NA,1974,"1970s","Museum","MVZ136179","MVZ136179","Rana","sierrae","Rana sierrae",1,0.0461,3.69,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 402.336_Datum __",8,0,0,0,0,8,0,0,0,"distlakepond","77.0535783449617"
"776","NorthAmerica","United States","California_Alpine County_Upper Lake, 1 mi from Hwy. 88 on trail to Lake Winnemucca",38.6878,-119.985,2701,"1974",46.37,26.4,38.1,49.9,NA,NA,1974,"1970s","Museum","MVZ136220","MVZ136220","Rana","sierrae","Rana sierrae",1,0.614,49.12,"qPCR (Vredenburg Lab)","Sam McNally",NA,"_Coordinate error (m) 804.672_Datum __Estimated elevation using GPS Visualizer",4,0,0,0,0,4,0,0,0,"distlakepond","97.1685526751709"
"783","NorthAmerica","United States","California_Tuolumne County_Lukens Lake, Yosemite National Park",37.8607,-119.6146,2521,"1975",55.84,27.5,40.1,52.8,NA,NA,1975,"1970s","Museum","SM085","MVZ136228","Rana","sierrae","Rana sierrae",1,NA,24.016,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZE's 4.432_43.6_Coordinate error (m) 198.12_Datum _not recorded_Estimated elevation using GPS Visualizer",5,0,0,0,1,4,0,0,0.848915406,"distlakepond","4.01610901998419"
"784","NorthAmerica","United States","California_Tuolumne County_Lukens Lake, Yosemite National Park",37.8607,-119.6146,2521,"1975",55.84,27.5,40.1,52.8,NA,NA,1975,"1970s","Museum","SM115","MVZ136229","Rana","sierrae","Rana sierrae",1,NA,67.08,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZE's 15.76_118.4_Coordinate error (m) 198.12_Datum _not recorded_Estimated elevation using GPS Visualizer",5,0,0,0,1,4,0,0,0.848915406,"distlakepond","4.01610901998419"
"785","NorthAmerica","United States","California_Tuolumne County_creek at fork of trail to Lukens Lake/Ten Lakes, Yosemite National Park",37.8654,-119.6203,2442.2,"1975",55.84,27.5,40.1,52.8,NA,NA,1975,"1970s","Museum","SM104","MVZ136230","Rana","sierrae","Rana sierrae",1,NA,15.2,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZE's 8.08_22.32_Coordinate error (m) 30_Datum _not recorded_Estimated elevation using GPS Visualizer",2.629548073,0,0,0,1,1.629547954,0,0,0.111989566,"distperennialstream","3.72547452651052"
"786","NorthAmerica","United States","California_Amador County_Bear River Reservoir",38.565,-120.2123,1792,"1975",60.75,31.9,43.6,55.4,NA,NA,1975,"1970s","Museum","SM032","MVZ136236","Rana","sierrae","Rana sierrae",1,0.0743,5.94,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 1609.344_Datum _not recorded_Estimated elevation using GPS Visualizer",3.681485176,0,0,0,3,0.681485295,0,0,0,"distlakepond","92.9044969786488"
"798","NorthAmerica","United States","California_Inyo County_Little Lake",35.937,-117.9057,952.6,"1976",7.67,46,59.1,72.2,NA,NA,1976,"1970s","Museum","MVZ137374","MVZ137374","Pseudacris","regilla","Pseudacris regilla",1,0.00958,0.77,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 1128.150144_Datum _MaNIS georeferencing guidelines_Extent is half the distance to Wickline Canyon. Extent and Maximum Error updated by David M. Fisher, 5 April 2010.Estimated elevation using GPS Visualizer",5,0,0,0,0,4,0,1,1.122712835,"distlakepond","263.681089075267"
"800","NorthAmerica","United States","California_Inyo County_Little Lake",35.937,-117.9057,952.6,"1976",7.67,46,59.1,72.2,NA,NA,1976,"1970s","Museum","MVZ137378","MVZ137378","Pseudacris","regilla","Pseudacris regilla",1,NA,5.82,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 0.4232_0.848_Coordinate error (m) 1128.150144_Datum _MaNIS georeferencing guidelines_Extent is half the distance to Wickline Canyon. Extent and Maximum Error updated by David M. Fisher, 5 April 2010.Estimated elevation using GPS Visualizer",5,0,0,0,0,4,0,1,1.122712835,"distlakepond","263.681089075267"
"801","NorthAmerica","United States","California_Alpine County_pond in Meadow between Highland Lakes",38.4908,-119.8027,2652,"1976",25.03,25.5,37.9,50.3,NA,NA,1976,"1970s","Museum","SM567","MVZ137397","Pseudacris","regilla","Pseudacris regilla",1,0.0153,1.22,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 804.672_Datum _not recorded_",0.318683654,0,0,0,0,0.318683654,0,0,0.289862602,"distlakepond","72.1210960375969"
"811","NorthAmerica","United States","California_Mono County_Frog Lakes",38.0489,-119.2808,3168,"1977",28.82,22.3,33.9,45.5,NA,NA,1977,"1970s","Museum","MVZ145327","MVZ145327","Bufo","boreas x canorus","Bufo boreas x Bufo canorus",1,NA,17.264,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 0.7304_1.376_Coordinate error (m) 182.88_Datum _not recorded_Estimated elevation using GPS Visualizer",0.25053829,0,0,0,0,0.25053829,0,0,0.139231922,"distlakepond","39.8073966352865"
"812","NorthAmerica","United States","California_Kern County_Sand Canyon, 3.1 mi W Hwy. 14, 20 mi S junction of Brown Rd. and Hwy. 14",35.1091,-118.3185,1220,"1978",18.25,42.5,54.7,66.8,NA,NA,1978,"1970s","Museum","MVZ172776","MVZ172776","Pseudacris","regilla","Pseudacris regilla",1,0.000154,0.01232,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 1207.008_Datum _not recorded_",19,0,0,0,2,8,8,1,0.313036674,"distintermittentstream","327.106366164149"
"813","NorthAmerica","United States","California_Kern County_Sand Canyon, 3.1 mi W Hwy. 14, 20 mi S junction of Brown Rd. and Hwy. 14",35.1091,-118.3185,1220,"1978",18.25,42.5,54.7,66.8,NA,NA,1978,"1970s","Museum","MVZ172777","MVZ172777","Pseudacris","regilla","Pseudacris regilla",1,NA,11.976,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 16.08_32.96_Coordinate error (m) 1207.008_Datum _not recorded_",19,0,0,0,2,8,8,1,0.313036674,"distintermittentstream","327.106366164149"
"817","NorthAmerica","United States","California_Tuolumne County_1.7 mi SW (by road) Sonora Pass",38.331,-119.6547,2805,"1979",53.41,22.4,34.3,46.2,NA,NA,1979,"1970s","Museum","SM108","MVZ170914","Rana","sierrae","Rana sierrae",1,0.00191,0.15,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Distance measured along hwy.",9,0,0,0,1,8,0,0,0.268669492,"distperennialstream","53.2695969434479"
"825","NorthAmerica","United States","California_Tuolumne County_1.7 mi SW (by road) Sonora Pass",38.331,-119.6547,2805,"1979",53.41,22.4,34.3,46.2,NA,NA,1979,"1970s","Museum","SM121","MVZ170919","Rana","sierrae","Rana sierrae",1,NA,329.2,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZE's 112_546.4_Coordinate error (m) 30_Datum _not recorded_Distance measured along hwy.",9,0,0,0,1,8,0,0,0.268669492,"distperennialstream","53.2695969434479"
"831","NorthAmerica","United States","California_Calaveras County_4.5 mi ESE (by air) Mokelumne Hill, Jesus Maria-Chaparral Transect",38.2753,-120.6184,549,"1980",31.19,45.3,59.7,74.2,NA,NA,1980,"1980s","Museum","SM560","MVZ175276","Pseudacris","regilla","Pseudacris regilla",1,NA,17.52,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 0.02264_3.368_Coordinate error (m) 3509.979264_Datum _MaNIS georeferencing guidelines_Started from center of Mokelumne Hill",4.318683624,0,0,0,4,0.318683654,0,0,4.105388443,"distperennialstream","96.4957229288729"
"832","NorthAmerica","United States","California_Calaveras County_2.2 mi E (by air) Glenco, in Wet-Gulch Fir Transect",38.3505,-120.545,701,"1980",38.07,45.7,58.7,71.8,NA,NA,1980,"1980s","Museum","SM562","MVZ175279","Pseudacris","regilla","Pseudacris regilla",1,NA,78.72,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 0.6696_5.024_Coordinate error (m) 304.8_Datum _not recorded_",7,0,0,0,3,4,0,0,0.55902995,"distperennialstream","95.484996235295"
"835","NorthAmerica","United States","California_Amador County_3.0 mi SE (by air) Fiddletown, Rancheria Creek-Oak Woodland Transect",38.4731,-120.7165,671,"1980",30.91,43.9,58.3,72.6,NA,NA,1980,"1980s","Museum","SM573","MVZ175418","Pseudacris","regilla","Pseudacris regilla",1,NA,2.8468,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 208_111.2_Coordinate error (m) 1207.008_Datum _not recorded_",6.253212929,0,0,0,4,0.253213167,0,2,3.027905603,"distperennialstream","115.594811478298"
"837","NorthAmerica","United States","California_Placer County_2.5 mi NE (by air) Auburn, Forest Hill Bridge-Burned Chaparral Transect",38.9225,-121.0388,427,"1980",33.17,47.1,59.8,72.5,NA,NA,1980,"1980s","Museum","MVZ175439","MVZ175439","Pseudacris","regilla","Pseudacris regilla",1,NA,4.892,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 0.2624_13.92_Coordinate error (m) _Datum _not recorded_",30,0,10,0,8,4,0,0,4.783809476,"distintermittentstream","169.363622612512"
"838","NorthAmerica","United States","California_Placer County_2.5 mi WNW Foresthill on Yankee Jim Rd., Yankee Jim-Mixed Conifer Transect",39.037,-120.9075,854,"1980",40.7,46.3,58.8,71.4,NA,NA,1980,"1980s","Museum","MVZ174531","MVZ175431","Bufo","boreas","Bufo boreas",1,NA,6.804,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 105.6_164_Coordinate error (m) _Datum _not recorded_",4.296728134,0,0,0,4,0.296728104,0,0,1.629784291,"distperennialstream","170.925178566917"
"839","NorthAmerica","United States","California_Kern County_Kern River Canyon",35.4986,-118.6938,636.7,"1982",19.67,44.1,56.8,69.5,NA,NA,1982,"1980s","Museum","MVZ178528","MVZ178528","Pseudacris","regilla","Pseudacris regilla",1,0.00604,0.4832,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 16173.9072_Datum _not recorded_Estimated elevation using GPS Visualizer",11,0,0,0,2,8,0,1,1.352688606,"distintermittentstream","274.933867855941"
"855","NorthAmerica","United States","California_Mono County_10 m. west of Lee Vining Dana, Mono County, Ca.",37.9398,-119.2356,2953.8,"1982",63.25,22.6,32.9,43.2,NA,NA,1982,"1980s","Museum","CAS163111","CAS163111","Pseudacris","regilla","Pseudacris regilla",1,NA,2.752,"qPCR (Vredenburg Lab)","Sam McNally",NA,"took average of 2 1 qPCR's_ZEs 865.6_1298.4_Coordinate error (m) _Datum _Mount Dana Quadrangle, 1988_Estimated elevation using GPS Visualizer",9,0,0,0,1,8,0,0,0.924258923,"distlakepond","38.4863229838955"
"856","NorthAmerica","United States","California_Mono County_10 m. west of Lee Vining Dana, Mono County, Ca.",37.9398,-119.2356,2953.8,"1982",63.25,22.6,32.9,43.2,NA,NA,1982,"1980s","Museum","CAS163114","CAS163114","Pseudacris","regilla","Pseudacris regilla",1,3.85e-05,0.00308,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) _Datum _Mount Dana Quadrangle, 1988_Estimated elevation using GPS Visualizer",9,0,0,0,1,8,0,0,0.924258923,"distlakepond","38.4863229838955"
"857","NorthAmerica","United States","California_Mono County_10 m. west of Lee Vining Dana, Mono County, Ca.",37.9398,-119.2356,2953.8,"1982",63.25,22.6,32.9,43.2,NA,NA,1982,"1980s","Museum","CAS163116","CAS163116","Pseudacris","regilla","Pseudacris regilla",1,0.0123,0.984,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) _Datum _Mount Dana Quadrangle, 1988_Estimated elevation using GPS Visualizer",9,0,0,0,1,8,0,0,0.924258923,"distlakepond","38.4863229838955"
"863","NorthAmerica","United States","California_Alpine County_Ebbetts Pass",38.5445,-119.8111,2663.7,"1982",94.89,25.7,36.1,46.5,NA,NA,1982,"1980s","Museum","SM570","MVZ178527","Pseudacris","regilla","Pseudacris regilla",1,0.021,1.68,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 402.336_Datum _not recorded_Estimated elevation using GPS Visualizer",8,0,0,0,0,8,0,0,1.253147547,"distephemeralstream","78.1187887356133"
"879","NorthAmerica","United States","California_Tuolumne County_3 mi W Sonora Pass, Hwy. 108 near Deadman Creek",38.3176,-119.6661,2679.6,"1983",94.17,23.4,33.7,44,NA,NA,1983,"1980s","Museum","SM081","MVZ186412","Rana","sierrae","Rana sierrae",1,0.00258,0.21,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Measured along Hwy. 108.Estimated elevation using GPS Visualizer",10,0,0,0,2,8,0,0,0.46054674,"distperennialstream","51.785230457417"
"880","NorthAmerica","United States","California_Tuolumne County_3 mi W Sonora Pass, Hwy. 108 near Deadman Creek",38.3176,-119.6661,2679.6,"1983",94.17,23.4,33.7,44,NA,NA,1983,"1980s","Museum","SM092","MVZ186411","Rana","sierrae","Rana sierrae",1,0.00373,0.3,"qPCR (Vredenburg Lab)","Sam McNally",NA,"1 of 2 qPCR's 1_Coordinate error (m) 30_Datum _not recorded_Measured along Hwy. 108.Estimated elevation using GPS Visualizer",10,0,0,0,2,8,0,0,0.46054674,"distperennialstream","51.785230457417"
