basin_name,lake_id,East UTM,North UTM
Barrett,10206,362853.0242,4103660.683
Barrett,10222,363519.7616,4105612.933
Barrett,10223,363745.2227,4105232.707
Barrett,10224,364414.5615,4105320.737
Barrett,10225,364434.3893,4104767.651
Barrett,10226,363828.6509,4104817.218
Barrett,10227,364069.6936,4104314.423
Barrett,10228,364864.6255,4104180.866
Barrett,11463,365071.0713,4104337.02
Barrett,11464,365011.6329,4104165.616
Barrett,11465,364674.0582,4103801.297
Barrett,11466,364636.8856,4103785.567
Barrett,11468,364330.16,4103690.049
Barrett,11469,364392.4235,4104061.699
Barrett,11470,364257.1976,4103999.368
Barrett,11471,364261.416,4103881.776
Barrett,11472,364231.5786,4103925.006
Barrett,11473,364169.897,4103921.245
Barrett,11479,363974.3835,4104259.796
Barrett,11480,363925.7772,4104282.958
Barrett,11481,363947.2546,4104415.417
Barrett,11482,363830.2511,4104447.865
Barrett,11483,363871.6139,4104474.126
Barrett,11484,364080.8088,4104526.273
Barrett,11485,363989.4451,4104595.146
Barrett,11487,364011.771,4104632.381
Barrett,11489,364285.7091,4104745.364
Barrett,11490,364674.4963,4104995.304
Barrett,11491,364556.2362,4105100.285
Barrett,11492,363568.813,4104876.769
Barrett,11493,363898.9556,4104958.892
Barrett,11494,363995.3844,4104996.487
Barrett,11495,363958.5442,4105035.809
Barrett,11496,363587.8456,4105108.511
Barrett,11497,363406.8253,4105397.066
Barrett,11502,364996.0925,4105252.988
Barrett,12382,364613.2475,4103828.435
Barrett,12494,364070,4104699
Barrett,12495,365052.3725,4105238.355
Barrett,12496,364060.0003,4104630.001
Barrett,12498,364922.1667,4105238.394
Barrett,12500,363501,4104944
Milestone,20192,369388.0647,4056145.654
Milestone,20195,370458.2682,4056439.546
Milestone,20196,370111.6076,4056600.747
Milestone,20197,369505.9855,4056710.749
Milestone,20198,370085.7296,4056968.677
Milestone,20199,369910.2649,4057051.084
Milestone,21078,369609.5137,4057326.688
Milestone,21081,369642.0634,4057089.281
Milestone,21084,369403.5637,4056010.151
Milestone,21085,369493.9619,4055929.322
Milestone,21086,369367.2774,4055825.085
Sixty_Lakes,10400,373363.711,4077527.206
Sixty_Lakes,10402,373307.5255,4077007.989
Sixty_Lakes,10403,373089.6996,4076592.687
Sixty_Lakes,10404,373305.2925,4076564.032
Sixty_Lakes,10405,373265.2912,4076297.293
Sixty_Lakes,10406,372588.4518,4076310.23
Sixty_Lakes,10407,372254.8054,4076254.793
Sixty_Lakes,10408,372437.927,4076511.742
Sixty_Lakes,10411,372667.6463,4075829.404
Sixty_Lakes,10412,373163.33,4075660.542
Sixty_Lakes,10413,373272.5101,4075345.303
Sixty_Lakes,10414,373014.1769,4075352.917
Sixty_Lakes,10415,372774.4634,4075260.075
Sixty_Lakes,10416,373554.957,4075250.318
Sixty_Lakes,10417,373767.4806,4074954.542
Sixty_Lakes,10418,372873.8457,4074843.944
Sixty_Lakes,10419,372540.9007,4074686.84
Sixty_Lakes,10420,373524.9363,4074598.612
Sixty_Lakes,10421,373513.7074,4074462.625
Sixty_Lakes,10422,373652.7663,4074287.836
Sixty_Lakes,10423,373554.0898,4073971.449
Sixty_Lakes,10424,373458.8362,4073560.185
Sixty_Lakes,10510,374107.6084,4074353.604
Sixty_Lakes,11064,374113.6889,4074567.489
Sixty_Lakes,11065,373623.9574,4075100.274
Sixty_Lakes,11066,373674.8487,4075406.814
Sixty_Lakes,11067,373647.3063,4075614.347
Sixty_Lakes,11068,373026.7209,4074987.231
Sixty_Lakes,11069,372910.4444,4075067.24
Sixty_Lakes,11070,373050.3078,4075246.983
Sixty_Lakes,11071,372881.3308,4075250.735
Sixty_Lakes,11072,373227.9604,4075570.079
Sixty_Lakes,11073,373103.1652,4075897.237
Sixty_Lakes,11074,373423.5967,4076038.402
Sixty_Lakes,11075,373315.5728,4076050.634
Sixty_Lakes,11076,373183.7544,4076114.242
Sixty_Lakes,11077,373191.2748,4076201.292
Sixty_Lakes,11078,373254.0966,4076384.561
Sixty_Lakes,11079,373254.3965,4076492.962
Sixty_Lakes,11080,372622.24,4076257.65
Sixty_Lakes,11081,372585.7638,4076654.19
Sixty_Lakes,11082,372607.0248,4076741.855
Sixty_Lakes,11083,372635.6255,4076795.844
Sixty_Lakes,11084,373338.8229,4076651.947
Sixty_Lakes,11085,373302.6597,4076698.963
Sixty_Lakes,11086,373234.0513,4076725.449
Sixty_Lakes,11087,373202.1885,4076951.181
Sixty_Lakes,11088,373440.0248,4076928.945
Sixty_Lakes,11089,373496.5728,4077090.313
Sixty_Lakes,11090,373277.4713,4077273.045
Sixty_Lakes,11091,373296.5202,4077344.189
Sixty_Lakes,11092,373251.4618,4077400.381
Sixty_Lakes,11093,373238.0014,4077474.059
Sixty_Lakes,11096,372365.6842,4075655.679
Sixty_Lakes,12587,372550.0005,4076520
Sixty_Lakes,12613,373552.1338,4074228.454
Sixty_Lakes,12615,372846.6164,4075376.445