,,,,,,,,,,,,,,,,,,,,,,,,,,,Species,1900s,,1910s,,1920s,,1930s,,1940s,,1950s,,1960s,,1970s,,1980s,,1990s,,2000s,,Total n,Total Bd+,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,n,Bd+,n,Bd+,n,Bd+,n,Bd+,n,Bd+,n,Bd+,n,Bd+,n,Bd+,n,Bd+,n,Bd+,n,Bd+,,,,,,,,,
,1900s,,1910s,,1920s,,1930s,,1940s,,1950s,,1960s,,1970s,,1980s,,1990s,,2000s,,Total Count of Decade,Total Sum of BdStatus,,,Bufo boreas,,,,,,,,,,,1,0,2,0,17,0,12,2,6,4,13,5,51,11,,,,,,,
Row Labels,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,Count of Decade,Sum of BdStatus,,,,,Bufo sp.,,,,,,,,,,,,,,,7,1,,,,,,,7,1,,,,,,,
Bufo boreas,,,,,,,,,,,1,0,2,0,17,0,12,2,6,4,13,5,51,11,,,Bufo canorus,,,,,,,,,,,,,,,,,1,0,,,1,1,2,1,,,,,,,
Bufo boreas x Bufo canorus,,,,,,,,,,,,,,,7,1,,,,,,,7,1,,,Pseudacris regilla,,,,,,,,,,,35,1,44,1,31,5,60,20,61,12,102,10,333,49,,,,,,,
Bufo canorus,,,,,,,,,,,,,,,,,1,0,,,1,1,2,1,,,Rana boylii,,,10,0,,,,,,,55,0,11,0,14,7,,,8,4,4,3,102,14,,,,,,,
Pseudacris regilla,,,,,,,,,,,35,1,44,1,31,5,60,20,61,12,102,10,333,49,,,Rana cascadae,,,,,,,,,,,,,,,1,0,,,,,,,1,0,,,,,,,
Rana boylii,,,10,0,,,,,,,55,0,11,0,14,7,,,8,4,4,3,102,14,,,Rana catesbeiana,,,,,,,,,,,1,0,1,0,2,0,5,1,25,6,14,5,48,12,,,,,,,
Rana cascadae,,,,,,,,,,,,,,,1,0,,,,,,,1,0,,,Rana draytonii,,,,,,,,,,,,,1,0,,,,,,,,,1,0,,,,,,,
Rana catesbeiana,,,,,,,,,,,1,0,1,0,2,0,5,1,25,6,14,5,48,12,,,Rana muscosa,,,51,0,1,0,11,0,5,1,26,0,58,1,8,0,,,15,6,2,1,177,9,,,,,,,
Rana draytonii,,,,,,,,,,,,,1,0,,,,,,,,,1,0,,,Rana pipiens,,,,,,,,,,,,,4,0,,,,,,,,,4,0,,,,,,,
Rana muscosa,,,51,0,1,0,11,0,5,1,26,0,58,1,8,0,,,15,6,2,1,177,9,,,Rana sierrae,1,0,61,0,11,0,58,1,28,0,118,1,63,0,70,19,23,12,,,5,2,438,35,,,,,,,
Rana pipiens,,,,,,,,,,,,,4,0,,,,,,,,,4,0,,,Grand Total,1,0,122,0,12,0,69,1,33,1,236,2,184,2,150,32,101,35,115,32,141,27,1164,132,,,,,,,
Rana sierrae,1,0,61,0,11,0,58,1,28,0,118,1,63,0,70,19,23,12,,,5,2,438,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,1,0,122,0,12,0,69,1,33,1,236,2,184,2,150,32,101,35,115,32,141,27,1164,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,1900s,,1910s,,1920s,,1930s,,1940s,,1950s,,1960s,,1970s,,1980s,,1990s,,2000s,,Total n,Total Positives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n,Positives,n,Positives,n,Positives,n,Positives,n,Positives,n,Positives,n,Positives,n,Positives,n,Positives,n,Positives,n,Positives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Time Periods,,,,
Bufo boreas,,,,,,,,,,,1,0,2,0,17,0,12,2,6,4,13,5,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Predictors,Model 1,Model 2,Model 3,Model 4,Model 5
Bufo sp.,,,,,,,,,,,,,,,7,1,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Species*,,X,X,X,X
Bufo canorus,,,,,,,,,,,,,,,,,1,0,,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ppt,X,X,X,X,X
Pseudacris regilla,,,,,,,,,,,35,1,44,1,31,5,60,20,61,12,102,10,333,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tmean,X,X,X,X,X
Rana boylii,,,10,0,,,,,,,55,0,11,0,14,7,,,8,4,4,3,102,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HFP 2009,X,X,X,X,X
Rana cascadae,,,,,,,,,,,,,,,1,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,croplands 2005,X,X,X,X,X
Rana catesbeiana,,,,,,,,,,,1,0,1,0,2,0,5,1,25,6,14,5,48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Built 2009,X,X,X,X,X
Rana draytonii,,,,,,,,,,,,,1,0,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popdensity 2010,X,X,X,X,X
Rana muscosa,,,51,0,1,0,11,0,5,1,26,0,58,1,8,0,,,15,6,2,1,177,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads,X,X,X,X,X
Rana pipiens,,,,,,,,,,,,,4,0,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Railways,X,X,X,X,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catwater*,,,,,X
Rana sierrae,1,0,61,0,11,0,58,1,28,0,118,1,63,0,70,19,23,12,,,5,2,438,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distwater,,,X,X,X
Grand Total,1,0,122,0,12,0,69,1,33,1,236,2,184,2,150,32,101,35,115,32,141,27,1164,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pasture 2009,,,,X,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIC,783.79,784.07,784.83,786.09,793.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resid. Dev,765.79,756.07,744.83,744.09,737.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resid. Df,1155,1145,1144,1143,1136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deviance,19.72,1.23,0.74,6.67,NA